From	To
P29250	Os03g0738600
A6BLW4	Os03g0251350
Q6EP31	Os02g0834000
P55142	Os04g0508300
Q10LJ0	Os03g0347200
P51431	Os05g0160200
Q06967	Os03g0710800
Q9LI00	Os06g0111500
Q93WI9	Os06g0157700
Q69VD5	Os06g0597400
Q2QYF3	Os12g0122000
Q0DDF6	Os06g0226500
P46265	Os02g0167300
Q7XDC8	Os10g0478200
Q655V5	Os06g0667100
Q8H7Y6	Os03g0161900
Q6F388	Os03g0795900
P31673	Os03g0266900
Q6Z2Z4	Os02g0146600
Q84Q72	Os03g0267000
Q2HWH1	Os04g0524300
P37833	Os01g0760600
Q69T31	Os02g0550600
Q6ZHA3	Os02g0120800
Q8H3A7	Os07g0613300
P37832	Os03g0780600
Q43594	Os01g0282800
Q10PR4	Os03g0224700
Q6F2Y7	Os05g0519700
Q9FR35	Os01g0675100
Q7XI40	Os07g0624700
Q7FAH2	Os04g0486600
P42862	Os03g0776000
Q07078	Os09g0482400
Q07078	Os09g0482600
O49068	Os05g0156600
Q9ARZ9	Os01g0328400
Q6ATR0	Os03g0809900
P49030	Os12g0287200
Q0ITU1	Os11g0216900
P48642	Os02g0813500
Q0DX67	Os02g0771400
Q6VBB2	Os07g0178600
Q8H7U1	Os03g0105600
Q71VM4	Os01g0253300
Q84J50	Os03g0267200
Q0DWH1	Os02g0815500
Q6Z7L8	Os02g0312600
Q6K9T0	Os02g0830200
Q7XEY9	Os10g0392600
Q7XRX3	Os04g0568700
P0C5C9	Os07g0638300
O64437	Os03g0192700
Q7XTK3	Os04g0118100
Q94J16	Os01g0749300
Q0J006	Os09g0538200
P27777	Os01g0136100
Q0J5V5	Os08g0398700
Q7XDP2	Os10g0457500
P48494	Os01g0147900
Q9SLX0	Os05g0155601
Q6Z156	Os07g0438800
P52428	Os02g0133800
Q6YT00	Os08g0548900
Q67VP4	Os06g0234200
Q2QPW1	Os12g0515600
Q6K7H2	Os02g0778400
Q9FYP9	Os01g0158000
Q0DKY4	Os05g0135700
Q6Z6L4	Os02g0218200
Q5VRN0	Os06g0109600
Q10LI1	Os03g0348900
P93438	Os01g0323600
Q6K5G8	Os02g0601300
P28752	Os07g0574800
Q9LSU1	Os11g0615700
Q7Y0F6	Os03g0406100
Q0DY72	Os02g0711300
Q76I22	Os03g0699700
P14717	Os02g0626100
Q67TP9	Os09g0456800
Q6K6S5	Os02g0496100
Q76FS3	Os05g0413200
Q6AVN2	Os05g0488800
Q10RI7	Os03g0158200
O24210	Os03g0851800
Q5Z6A4	Os06g0565200
Q9LGU6	Os01g0293000
B7F8P5	Os09g0545300
Q2QXR8	Os12g0145700
Q10DV7	Os03g0718100
O64464	Os09g0505600
A3AZ88	Os05g0111300
Q68Y52	Os05g0513800
Q6Z808	Os02g0742200
Q6ZKC0	Os08g0430500
B7EJ91	Os08g0558400
Q0DZE0	Os02g0627100
Q53M52	Os11g0247300
O64937	Os03g0177400
O64937	Os03g0177500
O64937	Os03g0177900
O64937	Os03g0178000
Q9LST7	Os06g0643100
Q10KF0	Os03g0387100
Q5VRY1	Os01g0184100
Q9LSU0	Os01g0811100
Q6ZH29	Os02g0112900
K4PW38	Os11g0446000
Q10RE5	Os03g0161800
P0DKK3	Os06g0176000
P0DKK3	Os06g0177100
P0C030	Os09g0420800
P0C031	Os06g0650100
Q0DV28	Os03g0152900
Q93VT8	Os01g0300200
Q84TB3	Os03g0820600
Q8S2G5	Os01g0801600
Q69QQ6	Os09g0482100
Q5VRG3	Os06g0167600
Q6H7S2	Os02g0641800
Q9XEA8	Os03g0747800
Q943E6	Os01g0136200
Q65X70	Os05g0495700
H6TFZ4	Os04g0309600
Q7XI75	Os07g0671700
Q8S0G4	Os01g0939600
Q75KP8	Os03g0391000
Q6H6Q7	Os02g0527300
P0DKK4	Os06g0176000
P0DKK4	Os06g0177100
Q6Z6G6	Os02g0762300
Q9AUR8	Os03g0711400
Q0J3D9	Os09g0127800
Q2R073	Os11g0656400
Q0IRB0	Os11g0656700
Q2QP86	Os12g0538700
Q2R076	Os11g0655900
Q2R075	Os11g0656000
Q0IMV4	Os12g0538600
Q0JBH9	Os04g0531100
A3C6G9	Os10g0516100
Q0DK35	Os05g0198200
Q7XIZ1	Os07g0151100
Q5QLR2	Os01g0667900
Q6H628	Os02g0646400
Q0J3L4	Os08g0565800
Q7G8Y5	Os01g0368900
P0C290	Os05g0149950
Q0JDM4	Os04g0393500
Q5SMY5	Os01g0194600
Q0IWL9	Os10g0500700
Q0JG89	Os01g0936000
Q6K609	Os02g0512400
Q0JP62	Os01g0241400
Q94HF1	Os03g0182700
Q6F357	Os05g0574100
Q7XPW5	Os04g0682300
P0DKK0	Os06g0192600
P46465	Os02g0803700
P46466	Os07g0691800
Q0DK10	Os05g0207300
Q9LSU3	Os03g0180400
Q5VMJ3	Os06g0152100
Q9FUD1	Os10g0323600
Q9FUD1	Os10g0323900
P0DKJ9	Os06g0192600
P49397	Os03g0200500
Q10MR0	Os03g0298800
O04433	Os04g0623700
P49398	Os02g0105900
Q0IQF7	Os11g0127900
Q0IQF7	Os12g0124200
P49964	Os06g0342100
P35684	Os12g0167900
P0DKK9	Os02g0549600
P0DKK9	Os04g0430100
P0DKK8	Os02g0549600
P0DKK8	Os04g0430100
Q6Z4I3	Os07g0190800
Q851R5	Os03g0800700
Q9AS75	Os01g0168200
Q0DKF1	Os05g0169000
P55857	Os01g0918300
Q652Q8	Os09g0567900
Q6ZJ05	Os08g0557900
Q75GM1	Os05g0480200
Q60DX1	Os05g0367400
Q6AUW3	Os05g0500500
Q67U94	Os09g0455200
Q943E9	Os01g0135900
Q943Q3	Os01g0135800
Q4W8D0	Os03g0712800
Q6K7E9	Os02g0782500
Q7EZ57	Os07g0517100
Q0E4A8	Os02g0128000
Q6Z6L5	Os02g0217900
Q943E7	Os01g0136000
Q08479	Os12g0236400
Q2QLY5	Os12g0623900
Q2QLY4	Os12g0624000
Q08480	Os11g0312220
Q08480	Os11g0312400
Q0JMW0	Os01g0356500
Q2QWE9	Os12g0197500
Q5QNA6	Os01g0208600
Q6F2U9	Os03g0586800
Q58G87	Os04g0628100
P35681	Os11g0660500
Q5JK24	Os01g0931400
Q7F0R1	Os07g0497400
Q6F358	Os05g0574000
Q5NAI4	Os01g0710700
Q7XMK8	Os04g0533000
Q9LST6	Os03g0695600
Q8L4L4	Os01g0896700
P0C5D1	Os07g0638400
Q75IZ7	Os03g0413000
Q109G2	Os10g0503700
Q8S5N2	Os10g0369900
Q53RK8	Os03g0708600
Q5Z8T3	Os06g0561000
Q5N749	Os01g0816400
Q6Z2X3	Os02g0140300
Q6ER22	Os09g0414500
Q5VND6	Os06g0149400
Q84TA3	Os03g0819100
Q2RB28	Os11g0128300
Q53WK4	Os05g0539700
B9GBM3	Os12g0124500
Q10L32	Os03g0360700
Q7XUP7	Os04g0482000
Q7XUP6	Os04g0482100
Q2QLI6	Os12g0640900
Q653N3	Os06g0251700
Q84VA7	Os02g0829900
Q5VQ78	Os06g0143900
Q8S9Z2	Os01g0969100
Q53PC7	Os11g0174000
Q0DJ99	Os05g0311000
P49661	Os01g0833700
Q9MAX6	Os04g0612600
P0C541	Os04g0644700
Q6Z382	Os07g0201100
Q6ZGL4	Os02g0117800
Q7XPR1	Os04g0624000
Q0JNK5	Os01g0281400
Q0DJA0	Os05g0310800
Q9MAX5	Os05g0461000
Q6Z844	Os02g0317400
Q5NA06	Os01g0838800
Q69Q02	Os07g0662900
Q7XQ97	Os04g0674400
Q7XPW7	Os04g0682050
Q0JAD9	Os04g0604000
Q0DKN3	Os05g0153000
Q0J716	Os08g0240800
Q5JMF2	Os01g0760900
Q2QZ86	Os11g0696200
Q5VRM0	Os06g0115300
Q75G87	Os03g0576600
Q5NB83	Os01g0236400
Q2QNG7	Os12g0566300
Q84SC3	Os08g0162800
Q10AZ4	Os03g0836000
Q5JKN2	Os01g0551800
Q9AXA6	Os01g0622700
Q338C0	Os10g0415800
Q6I588	Os05g0585400
Q2R8Z5	Os11g0210300
A3C6D7	Os10g0510000
Q0ITW7	Os11g0210500
Q5N725	Os01g0905800
Q10A30	Os10g0163340
Q6YXZ7	Os02g0139200
Q7XTE8	Os04g0462500
Q6EUP4	Os02g0580300
Q7XPW8	Os04g0682000
Q6Z1D5	Os08g0191600
Q69RC4	Os07g0512200
Q69NP0	Os06g0205000
Q6K908	Os02g0596900
Q6ZJW9	Os08g0137200
A3ANB5	Os03g0783000
Q84VG1	Os06g0643300
Q6ES10	Os09g0347800
Q6YVX7	Os02g0557800
Q0DBD3	Os06g0574500
A3C4N5	Os10g0410600
Q69JW2	Os02g0576700
Q7X7C9	Os04g0459700
Q9XJ54	Os08g0532300
Q10BT5	Os03g0805300
Q0E2S4	Os02g0217600
Q9XE33	Os08g0496500
Q0DYB1	Os02g0704900
Q5W7C6	Os05g0117798
Q6ZJ08	Os08g0557600
Q6Z746	Os02g0736100
Q10PZ6	Os03g0215700
Q7XEJ5	Os10g0419500
Q84L14	Os02g0612300
Q6EQG2	Os09g0345700
A1L4T4	Os10g0419400
