From	To
Q8LMR2	Os03g0121800
O48653	Os01g0868300
Q10CQ1	Os03g0752800
Q7XKA8	Os04g0691100
Q338B0	Os10g0419300
Q7X6L2	Os04g0444300
Q5Z807	Os06g0704300
Q6IEQ7	Os01g0826400
Q2QW53	Os12g0207000
Q851R2	Os03g0800200
Q7X745	Os04g0459800
Q0JIC2	Os01g0812000
Q5UG13	Os03g0149100
Q6VAK4	Os09g0567400
Q84T68	Os03g0854200
Q8H3Q1	Os07g0669500
Q7XHR2	Os07g0490200
Q10CH5	Os03g0782500
Q65XK7	Os05g0572700
Q2QM00	Os12g0622500
Q9LWU9	Os06g0127800
Q10B19	Os03g0833200
Q53JF7	Os11g0167800
Q10Q08	Os03g0214100
Q0JHU7	Os01g0841500
Q6L4V0	Os05g0498300
Q9FDY4	Os01g0194300
Q75HE5	Os03g0815100
Q76CY8	Os09g0506800
Q6Z312	Os02g0766700
Q6ZJM9	Os08g0105000
Q10I26	Os03g0566800
B7FAL5	Os05g0140500
Q852Q2	Os05g0530500
B2ZX90	Os01g0896300
Q7XK25	Os04g0479000
Q9AV81	Os10g0466300
Q0JB88	Os04g0549600
Q5VNM3	Os01g0639100
Q0D4T4	Os07g0605200
Q6YW48	Os02g0220400
Q8VWH2	Os06g0157500
B1Q3J6	Os07g0182900
Q7Y0W5	Os10g0463400
Q8H991	Os06g0229300
Q94CV1	Os01g0864000
Q2R482	Os11g0484300
Q84JI0	Os03g0268600
Q84KJ3	Os01g0141700
Q7Y1I7	Os03g0798300
Q75LI2	Os03g0834000
Q9XJ60	Os03g0122600
Q6AVI1	Os03g0733600
Q2V0P1	Os05g0203800
Q9LG97	Os01g0129200
P17070	Os02g0805200
Q6AU90	Os05g0411300
Q8GVZ6	Os07g0139300
Q5SML5	Os06g0183100
Q5W6R4	Os05g0346200
Q7FAD5	Os04g0452500
Q7XAK4	Os02g0580300
Q6K881	Os02g0290500
E5RQA1	Os07g0261200
Q0D9C7	Os06g0726800
Q6Q9I2	Os07g0108900
Q75GR5	Os03g0815700
Q7XP65	Os04g0522500
Q7X7L3	Os04g0484900
Q7XHZ0	Os07g0640900
Q8LN68	Os03g0706500
Q0JCT1	Os03g0390600
Q7Y0Y8	Os06g0583400
Q5JK84	Os01g0550000
Q10MB4	Os03g0315400
C0SQ89	Os10g0104900
Q94IB1	Os12g0572000
Q10SU5	Os03g0110800
Q93VB5	Os05g0530400
C7J2Z1	Os05g0351200
Q65XV7	Os05g0111000
Q9SNQ6	Os06g0142600
Q10J20	Os03g0437600
Q10J20	Os11g0384789
Q7GBF7	Os11g0146800
Q8LGZ9	Os07g0103500
Q8GT06	Os01g0948100
Q0D3B6	Os07g0695100
Q5JNS0	Os01g0293100
Q69P94	Os09g0439200
A6BLW4	Os03g0251350
Q53K16	Os03g0723000
Q2R435	Os11g0490600
Q0DSV9	Os03g0284800
Q10LJ0	Os03g0347200
Q10M41	Os03g0324300
Q7X993	Os07g0687700
Q2RB59	Os11g0124300
Q6YUX0	Os02g0747900
Q942D6	Os01g0733200
P51431	Os05g0160200
Q9SAR1	Os09g0507200
Q9LRE6	Os11g0186400
Q75RY2	Os03g0106300
Q06967	Os03g0710800
Q2QX40	Os12g0170400
Q93WI9	Os06g0157700
Q5ZEF1	Os01g0130200
Q8H2X8	Os07g0586900
Q5N7C7	Os01g0859500
Q852Q0	Os03g0289100
Q0JNI9	Os01g0286100
Q0JEE2	Os04g0287400
Q655V5	Os06g0667100
Q7X7A4	Os04g0464966
Q8H7Y6	Os03g0161900
A3AHG5	Os03g0322900
A3AGM4	Os03g0279000
Q6AT90	Os05g0139100
Q0D3I7	Os07g0684900
Q6K8D9	Os02g0759800
Q6F388	Os03g0795900
Q6Z2Z4	Os02g0146600
Q2HWH1	Os04g0524300
Q8H3A7	Os07g0613300
Q53NF7	Os11g0184900
Q0J9J6	Os04g0648700
Q10PR4	Os03g0224700
Q6F2Y7	Os05g0519700
Q6K498	Os09g0470500
Q7XI40	Os07g0624700
Q40703	Os05g0423400
Q0J7V9	Os08g0159500
Q9XJ61	Os01g0922800
Q0DEB8	Os06g0162800
Q9ARZ9	Os01g0328400
Q6ATR0	Os03g0809900
P49030	Os12g0287200
Q9XJ66	Os02g0761000
Q75KV9	Os03g0741100
P37398	Os01g0911700
Q0ITU1	Os11g0216900
Q5N870	Os01g0909200
G3XKQ9	Os04g0396500
Q69XJ0	Os06g0603600
Q5N897	Os01g0856000
Q64MA1	Os09g0522200
Q9LWV3	Os06g0127100
Q6J1A5	Os06g0165600
Q8H273	Os04g0572400
Q652P4	Os09g0569400
Q2R073	Os11g0656400
Q0IRB0	Os11g0656700
O82117	Os09g0240200
Q2R076	Os11g0655900
Q2R075	Os11g0656000
Q0IMV4	Os12g0538600
Q657D6	Os01g0566100
Q6K7E6	Os02g0782700
Q9AWL7	Os01g0182600
Q8LHP0	Os07g0631100
Q9SXG8	Os04g0567800
B9F1L8	Os02g0673700
Q6K537	Os02g0252400
Q6Z345	Os02g0726300
Q5JLR7	Os01g0758200
Q338B9	Os10g0415900
Q7XIZ1	Os07g0151100
Q5QLR2	Os01g0667900
Q10SY2	Os03g0107700
Q6F362	Os05g0574300
Q0JDM4	Os04g0393500
Q9LGH4	Os01g0153100
Q60GC1	Os01g0777300
Q6K609	Os02g0512400
Q0JP62	Os01g0241400
Q9LGI2	Os01g0152300
Q94JJ4	Os01g0149600
Q2RAD9	Os06g0160001
Q2RAD9	Os11g0155900
Q94JE1	Os01g0153300
Q2RBP2	Os11g0104300
Q8W3L9	Os07g0685700
Q69V10	Os07g0628500
Q0D6V7	Os07g0435400
A9XMT5	Os06g0115600
Q0DX67	Os02g0771400
Q6AUQ7	Os05g0133900
Q8W3M0	Os03g0324200
Q6AU07	Os03g0725300
Q7XD96	Os10g0485600
Q10HL3	Os03g0583900
Q6L4S0	Os05g0592400
Q84QM3	Os08g0538700
Q7GD79	Os05g0574500
Q69XM7	Os06g0600301
Q2R374	Os11g0533500
Q10CI8	Os03g0759500
Q6H805	Os02g0182100
Q75HW2	Os05g0395600
Q689G6	Os09g0532400
P0DKK0	Os06g0192600
Q689G9	Os02g0618200
P46465	Os02g0803700
P46466	Os07g0691800
Q9LSU0	Os01g0811100
P0DKK4	Os06g0176000
P0DKK4	Os06g0177100
Q0DK10	Os05g0207300
Q9LST7	Os06g0643100
Q9LSU3	Os03g0180400
O64464	Os09g0505600
Q10KF0	Os03g0387100
Q9LSU1	Os11g0615700
Q5VRG3	Os06g0167600
Q6YT00	Os08g0548900
P0DKJ9	Os06g0192600
P52428	Os02g0133800
P0DKK3	Os06g0176000
P0DKK3	Os06g0177100
Q0J006	Os09g0538200
Q10MR0	Os03g0298800
Q69KL9	Os06g0187900
K4PW38	Os11g0446000
Q7X9A8	Os03g0796900
Q654B3	Os06g0662200
Q0JMB2	Os01g0518400
Q6H500	Os02g0175100
Q6YZI0	Os08g0559300
Q10LI1	Os03g0348900
Q9AWM9	Os01g0513800
Q336P2	Os10g0575600
Q6AVZ9	Os05g0134300
Q7XLX6	Os04g0408700
Q75HY5	Os05g0583200
Q0DKM4	Os05g0154800
P0C030	Os09g0420800
Q6AVI0	Os03g0733400
Q6ETX0	Os02g0266800
Q6K4N0	Os02g0789400
P0C031	Os06g0650100
Q7Y0V9	Os04g0569100
Q6EPF0	Os02g0674800
B8YIE8	Os05g0445900
Q0J0K1	Os09g0507100
Q6I576	Os05g0408200
Q0E3F8	Os02g0177300
Q7Y021	Os03g0752200
Q7XEY9	Os10g0392600
Q5Z818	Os06g0703500
Q9LGU7	Os01g0292900
Q7Y0F6	Os03g0406100
Q7EXZ2	Os08g0509600
Q9LGR0	Os01g0184900
Q653Z5	Os06g0663500
Q6ZD95	Os08g0156900
Q943I6	Os01g0871200
P55857	Os01g0918300
Q0DAE8	Os06g0659100
Q2R3Y1	Os11g0496600
Q9ZQW8	Os09g0491756
Q8S1Z1	Os01g0810000
Q75LV5	Os03g0625900
Q2R0Q1	Os11g0636900
Q6VBB2	Os07g0178600
Q10QP3	Os03g0188900
Q6ZA74	Os08g0416000
Q5Z6F6	Os06g0698200
Q6Z1Z3	Os08g0101000
Q7XKC5	Os04g0676600
Q652L2	Os09g0567700
Q7XI85	Os07g0581700
Q7XC54	Os10g0561800
Q6Z248	Os08g0481400
Q75GK1	Os03g0633800
Q8LQ74	Os01g0741900
Q652A1	Os09g0527700
Q75GK0	Os03g0633500
Q0DUR2	Os03g0171300
Q6ATW6	Os05g0472000
Q0E3M2	Os02g0166800
Q652I1	Os06g0672400
Q0JAI1	Os04g0598300
Q6H6Q7	Os02g0527300
Q8S857	Os10g0418000
Q6ZL43	Os07g0545300
Q6TAQ6	Os03g0109400
Q2QM96	Os12g0612700
Q0E0A6	Os02g0565600
Q6Z9R8	Os08g0471000
Q67U94	Os09g0455200
Q5VPE3	Os06g0140700
Q652B0	Os09g0526600
Q9AV49	Os10g0480200
Q6AST1	Os03g0640800
Q6YWR4	Os02g0729700
Q0JB92	Os04g0548700
Q338Z7	Os10g0377300
Q84Q77	Os03g0266300
Q5VPE5	Os06g0140400
Q7XRX3	Os04g0568700
Q6YV04	Os02g0215200
Q7Y0Y6	Os02g0214900
Q5Z6A4	Os06g0565200
Q6EUG4	Os02g0232000
Q94J16	Os01g0749300
Q94JF2	Os01g0705200
Q6Z9C8	Os08g0546800
Q10KX8	Os03g0366800
Q6VBA4	Os01g0625300
Q7XRS1	Os04g0516200
Q0DNU1	Os03g0734900
Q5W659	Os05g0347400
Q941W1	Os01g0828900
Q943L2	Os01g0839500
Q7GBK0	Os01g0152900
Q6ZD63	Os08g0108200
Q0DWF2	Os02g0817600
Q10D34	Os03g0742900
Q6AT10	Os05g0178600
P0C128	Os08g0109400
Q6H6S3	Os02g0649300
Q84T61	Os03g0854500
Q6K6S5	Os02g0496100
Q67TP9	Os09g0456800
Q10QF2	Os03g0198600
Q0JKX1	Os01g0643600
Q7XUJ5	Os04g0541700
Q9LG86	Os01g0190300
Q75GB1	Os05g0230700
Q6AT33	Os05g0559400
P0C130	Os11g0221200
Q67UX6	Os02g0149900
Q5W670	Os05g0523300
Q0JKG7	Os01g0675700
Q6ZL57	Os07g0182400
Q6Z5M0	Os02g0723400
Q6K846	Os02g0805100
P0C131	Os11g0221300
Q651Z5	Os09g0528200
P0C133	Os12g0601400
Q6H543	Os02g0228900
P0C132	Os12g0601300
Q5VRR0	Os06g0166500
Q5VRD1	Os01g0178500
Q69VE0	Os06g0597000
Q5NB25	Os01g0231000
Q5Z749	Os06g0335500
Q657C0	Os01g0571300
Q2QZJ8	Os11g0684000
Q53N87	Os11g0243300
Q6ZB90	Os08g0479400
Q5JL96	Os01g0719100
Q5VM82	Os01g0635550
Q6EU30	Os02g0683500
Q10GM4	Os03g0622100
Q10GM3	Os03g0622200
Q6K5K2	Os02g0598200
Q8RZX9	Os01g0693400
Q75LH6	Os03g0833300
Q65WY8	Os05g0182600
Q6ASW7	Os03g0719100
Q7XPY1	Os04g0656500
Q6Z461	Os07g0505200
Q6L4L4	Os05g0125000
Q6PL11	Os11g0456300
E3VXF2	Os02g0799100
Q6K9C3	Os02g0610600
Q8W0W3	Os09g0534800
P42553	Os04g0408900
Q5Z6B1	Os06g0530700
Q58G87	Os04g0628100
Q6YZE8	Os08g0531600
Q7X923	Os04g0321600
Q75LL6	Os03g0750800
Q5ZAY0	Os01g0788800
Q69T21	Os06g0614100
Q8W0W4	Os03g0657000
Q6IVC2	Os01g0808100
Q5Z6N9	Os06g0265400
Q53Q70	Os11g0152700
Q6ZBS8	Os08g0176900
Q0DKP3	Os05g0150500
Q67VW6	Os06g0489200
Q2R3K5	Os11g0515500
Q7XVM8	Os04g0395600
Q6EPZ2	Os09g0417600
Q2QXL0	Os12g0152900
Q6H442	Os09g0279600
Q69QB5	Os06g0218000
Q75I13	Os03g0433200
Q6ZK48	Os08g0127700
Q10Q26	Os03g0212300
Q6AV22	Os03g0619600
Q851W5	Os03g0620400
Q8LMR9	Os03g0120900
Q10CE8	Os03g0785800
Q5N941	Os01g0870100
Q94DH3	Os01g0971800
Q6YXZ4	Os02g0139000
P0C5C9	Os07g0638300
Q6Z156	Os07g0438800
Q5QMN3	Os01g0197200
Q9SDK9	Os01g0253600
Q10RI7	Os03g0158200
Q9LST6	Os03g0695600
Q2QM59	Os12g0616400
A4PBL4	Os02g0762800
Q851S7	Os03g0699200
Q8L4L4	Os01g0896700
Q10LZ1	Os03g0329900
Q40742	Os09g0407200
Q0E0Q3	Os02g0530600
P0C5D1	Os07g0638400
Q6ZBH6	Os08g0544800
Q7F7I7	Os01g0611100
Q69IL4	Os09g0516200
Q6S4P4	Os03g0336200
Q0DLB9	Os05g0110500
Q6YZ54	Os02g0775200
Q6YS30	Os07g0301200
Q2R2B4	Os11g0572100
Q852K3	Os03g0792600
Q5VQL1	Os01g0172200
Q9FXM3	Os12g0176500
Q650T9	Os09g0520700
Q5JKF2	Os01g0549400
Q53RK8	Os03g0708600
Q7Y183	Os03g0669000
Q0E3C3	Os02g0182800
Q94LW4	Os06g0646600
Q9FP29	Os01g0302500
O80416	Os07g0129700
Q7GDL5	Os05g0129700
Q75LU5	Os03g0570300
Q948L5	Os03g0727200
Q944S9	Os06g0712700
Q5JKB0	Os01g0544450
Q8LNU5	Os10g0495500
Q6EP49	Os02g0579600
Q2QW55	Os12g0206800
Q69TG5	Os06g0217300
Q8S151	Os01g0726400
Q0DHC4	Os05g0476200
Q2QNM1	Os12g0560700
Q69QA6	Os06g0218500
Q84MM9	Os06g0610350
Q6Q9H6	Os03g0753100
Q6ASS2	Os03g0639600
Q5VND6	Os06g0149400
Q704V3	Os01g0612700
Q84UR0	Os08g0130100
Q6Z6W2	Os02g0731200
Q8LQH4	Os01g0889400
Q6VAM4	Os08g0431900
Q8RU31	Os01g0886200
Q84NC5	Os04g0304400
Q40702	Os01g0883100
P0C5B2	Os10g0536100
Q339W7	Os10g0324900
Q6F353	Os05g0235800
Q69UP7	Os07g0472200
Q6KAJ4	Os02g0797400
Q53WK4	Os05g0539700
Q9LGE6	Os01g0256900
Q0J8G8	Os08g0112700
Q655V4	Os06g0667200
Q2QMB3	Os12g0611000
Q6K833	Os02g0780600
Q6Z9U7	Os08g0180000
Q7XQR9	Os04g0635900
Q2QQA3	Os12g0501700
Q6H711	Os02g0170300
Q5QNI5	Os01g0211800
Q5JMK6	Os01g0756200
Q9FU27	Os01g0192000
Q75LD5	Os03g0843600
Q7XI75	Os07g0671700
Q5NAV3	Os01g0257400
Q5NB85	Os01g0236300
Q8S985	Os05g0563400
Q2QM47	Os12g0617900
Q60EX6	Os05g0144400
Q84T08	Os03g0802900
Q6YUB8	Os08g0462700
Q7XPT0	Os04g0600500
Q5NAW2	Os01g0258700
Q8LIB3	Os07g0644100
Q5JLB5	Os01g0917400
Q6YVY0	Os02g0557200
P0DH88	Os10g0114500
P0DH88	Os10g0115200
Q6ZIK7	Os02g0700700
P0DH89	Os10g0114500
P0DH89	Os10g0115200
Q94DE2	Os01g0857700
Q65WT0	Os05g0446300
P35682	Os12g0149800
Q5N8J3	Os01g0702000
Q6YZM6	Os08g0357000
Q6H6V4	Os02g0164900
A3B9A0	Os06g0196700
Q8LQ36	Os01g0851400
Q5VSA8	Os06g0130600
Q9LRE5	Os03g0128500
Q8S9Z5	Os01g0968800
Q6EP77	Os02g0677300
Q0J090	Os09g0522100
Q0JQF7	Os01g0165000
Q84ZA1	Os08g0565200
Q65WX1	Os05g0473300
Q10R18	Os03g0174400
Q8H507	Os07g0183200
Q10DV5	Os03g0718500
Q6K3B2	Os02g0455800
Q10QS9	Os03g0184500
Q0JBF0	Os04g0536300
Q0JP99	Os01g0234100
Q2R9D2	Os11g0197600
Q5JNA1	Os01g0723700
Q8S2E6	Os01g0723500
Q2R0Z3	Os11g0625400
Q69JZ7	Os09g0535300
Q8LNN8	Os10g0537100
Q53N90	Os11g0242900
Q6Z3L4	Os08g0242400
Q10M29	Os03g0325600
Q0JKK6	Os01g0667400
Q7XTV3	Os04g0649400
Q5QMM3	Os01g0818400
Q33DK1	Os11g0102100
Q33DK1	Os12g0101600
Q8H594	Os07g0600400
Q6AUG0	Os05g0564200
Q5KQI4	Os05g0481400
Q9LHY9	Os06g0112300
Q2QM17	Os12g0621100
Q7XIM7	Os07g0160100
Q7EZD5	Os08g0157700
Q8L556	Os10g0508300
Q6K3B1	Os02g0455900
Q84YL3	Os07g0232100
Q67VL7	Os06g0632500
Q10FZ7	Os03g0650000
Q6H668	Os02g0643200
Q5VS55	Os06g0107800
Q6Z0D2	Os08g0325134
Q0D5G4	Os07g0563300
A3BH91	Os07g0183700
Q6YTQ4	Os08g0333500
Q7XKC4	Os04g0676650
Q69V36	Os06g0194400
Q6Z3U3	Os07g0679700
Q6Z0D9	Os08g0324300
Q688U3	Os05g0579300
Q6YXH5	Os09g0466400
Q8S3Q9	Os02g0706600
Q9AWS0	Os01g0141000
Q9AWS7	Os01g0140700
Q8H506	Os07g0183350
Q5W7C3	Os05g0118700
Q8W0F1	Os01g0854500
Q7XGM6	Os10g0158625
Q5N6V0	Os01g0905400
Q53QI0	Os11g0156000
Q6ZKC0	Os08g0430500
Q0D9R7	Os06g0702600
Q53KW9	Os03g0650400
Q7XSS9	Os04g0690600
Q7XTK3	Os04g0118100
Q2QM84	Os12g0613700
Q5JK20	Os01g0927600
Q2R2W1	Os11g0547000
Q5Z8K3	Os06g0694000
Q2R837	Os11g0244800
Q84TV4	Os03g0818300
Q6Z7F4	Os02g0564100
Q6YTY3	Os07g0608400
Q75IR6	Os05g0163100
Q7F2Z1	Os01g0887700
Q7XUW3	Os04g0444900
Q0J2C6	Os09g0359800
Q60DW3	Os05g0419100
Q8H383	Os07g0233300
Q7XTE8	Os04g0462500
Q6EUP4	Os02g0580300
Q653H7	Os06g0685700
Q6H509	Os02g0174100
Q6Z784	Os02g0202200
Q0DLD3	Os05g0107700
Q9AV28	Os10g0546400
Q7XT42	Os04g0551500
Q6H434	Os09g0280500
Q6IVC3	Os03g0318600
Q0JNL3	Os01g0279900
Q8GSI0	Os03g0180800
Q0JKI9	Os01g0670800
Q653U3	Os06g0677800
Q6K223	Os02g0628600
Q2QQX6	Os12g0479400
Q0J951	Os04g0671900
Q5JMM1	Os01g0753500
Q9AV47	Os10g0479900
Q6ZJW9	Os08g0137200
Q5NBI2	Os01g0269900
Q0JCZ4	Os04g0442000
A3ANB5	Os03g0783000
Q69VG1	Os07g0545800
Q8GVE1	Os07g0583600
Q6AWX7	Os04g0574500
Q6K7H2	Os02g0778400
Q94E96	Os03g0279200
Q9XHY7	Os01g0246100
Q6K678	Os02g0793900
Q5Z5I4	Os06g0348800
Q75L11	Os05g0113900
Q2QS71	Os12g0438000
Q8H7Y8	Os03g0162200
Q6ES10	Os09g0347800
Q5Z8V7	Os06g0704800
Q2QPG9	Os12g0530000
Q5VRN0	Os06g0109600
Q84MP7	Os03g0743400
Q6L500	Os05g0461400
Q6EPP9	Os02g0678800
Q6AWX8	Os07g0467500
Q6AWY7	Os06g0204800
Q9FRG8	Os03g0674700
Q84NJ4	Os08g0427700
Q6ZL42	Os07g0545400
Q6K5X1	Os02g0811000
Q6Z433	Os02g0148500
Q10F25	Os03g0684000
Q5NAN5	Os01g0239000
Q2QPW1	Os12g0515600
Q6AWY8	Os02g0776900
Q7XDD0	Os10g0478000
Q7EYV7	Os07g0413700
B9G5N1	Os10g0405500
Q6YVX7	Os02g0557800
Q7XTT4	Os04g0620700
Q10LF7	Os03g0352400
Q2QXY3	Os12g0139400
Q8GSL4	Os07g0628600
Q8H7S7	Os03g0224200
Q5N6V8	Os01g0904700
Q942A1	Os01g0952500
Q6K8X6	Os02g0796500
Q6ZC03	Os08g0458600
Q10QS7	Os03g0184700
Q0IY07	Os10g0402200
Q5N8Q4	Os01g0683400
Q6K9T0	Os02g0830200
Q69JW2	Os02g0576700
Q7X7C9	Os04g0459700
Q5QM06	Os01g0508500
Q9XE33	Os08g0496500
Q10JI3	Os03g0419100
B7F924	Os01g0508100
Q65XK1	Os05g0573500
Q10Q07	Os03g0214200
Q6Z348	Os02g0725900
Q69J40	Os07g0606600
Q6Z1C0	Os08g0192900
Q7G8Y3	Os01g0367900
Q94LW3	Os03g0123500
Q10ED2	Os03g0771500
Q10G81	Os03g0640100
Q6EU10	Os02g0672600
Q84NC2	Os04g0614100
Q10RE5	Os03g0161800
Q7XEJ5	Os10g0419500
Q52QH4	Os01g0816100
Q336P5	Os10g0575000
Q8H4S4	Os07g0566500
Q10S65	Os03g0133000
Q84L14	Os02g0612300
Q6Z869	Os02g0325600
Q5NB82	Os01g0236700
Q6AT41	Os05g0558800
Q60EQ4	Os05g0463800
Q10S83	Os03g0131100
Q6YVY6	Os07g0602900
Q8LI34	Os07g0626600
Q53NK6	Os11g0700500
Q2RB33	Os11g0127600
Q7GCL7	Os01g0261200
Q7XD82	Os10g0487300
Q6K1S6	Os02g0624300
Q7EZT1	Os07g0225300
Q5CD17	Os12g0123800
Q7XC51	Os10g0562100
A1L4T4	Os10g0419400
Q4JL76	Os12g0567300
